職缺名稱,公司,地點,薪資,來源,發布日期,適合度分數,評分原因,連結,職缺描述,要求條件
"Senior Data Analyst, Growth Marketing",Coupang,台北,面議,LinkedIn,2026-05-07,96.0,"技能匹配(9): sql, python, tableau, etl, 數據分析, 資料分析; 職稱完全匹配: senior data analyst; 地點符合: 台北; [技能40+職稱30+關鍵字16+地點10]",https://tw.linkedin.com/jobs/view/senior-data-analyst-growth-marketing-at-coupang-4408633038,Company Introduction Coupang is reimagining the shopping experience with the goal of wowing each customer from the instant they open the Coupang app to the moment an order is delivered to their door. ...,
Data Analyst,裕順資訊有限公司,"松山區, 台北市, 台灣",11.5萬 ~ 12.7萬 TWD / 月,CakeResume,,95.7,"技能匹配(7): sql, dashboard, machine learning, 機器學習, 數據分析, 資料分析; 職稱完全匹配: senior data analyst; 地點符合: 松山區, 台北市, 台灣; [技能40+職稱30+關鍵字16+地點10]",https://www.cake.me/companies/richwell/jobs/data-analyst-687,"為什麼大家喜歡在
RichWell Co.Ltd.
上班？
1.彈性上班-早上不趕打卡，想多睡一點、避開通勤人潮都OK。
2.特休多多-不用等滿一年就能休假，我們比法規更大方，放假就是要爽爽的。
3.獎金福利讚 年終、績效獎金該有的都有，努力絕對不白費。
4.生日小驚喜，公司記得你的每個重要時刻。
5.定期聚餐/Team Building 不只是工作夥伴，更是一起成長的戰友，吃吃喝喝感情更緊密。
...","Qualifications:
Bachelor’s degree in Data Science, Statistics, Computer Science, Mathematics, or related fields.
2+ years of experience in data analysis, preferably in a software or technology company..."
Data Scientist / Data Analyst 資料科學家/ 數據分析 師,展旺數位有限公司,"內湖區, 台北市, 台灣",5萬 ~ 12萬 TWD / 月,CakeResume,,94.7,"技能匹配(6): sql, python, tableau, 數據分析, 資料分析, 跨部門溝通; 職稱完全匹配: data analyst; 地點符合: 內湖區, 台北市, 台灣; [技能40+職稱30+關鍵字15+地點10]",https://www.cake.me/companies/zhanwang-digital.com/jobs/data-scientist-data-analyst-191,"・負責收集、清理、管理平台內外部數據，確保資料完整與正確，打造可供分析使用的數據集
・監控數據質量與資料庫模型，持續優化數據處理流程
・分析用戶行為（活躍、留存、付費）、市場活動成效及用戶來源渠道
・應用統計、ML/DL 和生成式 AI 技術來建立使用者分類、詐欺偵測、情緒分析和其他目標的功能
・以數據支持產品優化，協助設計及分析A/B測試
・與其他產品開發團隊合作，了解他們的業務需求，如潛在用戶...","・大學以上學歷，數據分析、統計、資訊工程等相關背景
・2年以上數據分析相關經驗
・精通Excel、熟練撰寫SQL
・熟悉Python或R等數據分析工具
・熟練使用Tableau、Power BI等BI工具進行報表設計
・具MongoDB等資料庫操作經驗尤佳
・具備良好的邏輯思考、數據敏感度與跨部門溝通能力"
Data Scientist / Data Analyst 資料科學家/ 數據分析 師,菲律賓商加文創投有限公司(Taiwan Branch),"內湖區, 台北市, 台灣",5萬 ~ 12萬 TWD / 月,CakeResume,,94.7,"技能匹配(6): sql, python, tableau, 數據分析, 資料分析, 跨部門溝通; 職稱完全匹配: data analyst; 地點符合: 內湖區, 台北市, 台灣; [技能40+職稱30+關鍵字15+地點10]",https://www.cake.me/companies/cakeresume-Gavin/jobs/data-scientist-data-analyst-21d80c,"1.負責收集、清理、管理平台內外部數據，確保資料完整與正確，打造可供分析使用的數據集
2.監控數據質量與資料庫模型，持續優化數據處理流程
3.分析用戶行為（活躍、留存、付費）、市場活動成效及用戶來源渠道
4.應用統計、ML/DL 和生成式 AI 技術來建立使用者分類、詐欺偵測、情緒分析和其他目標的功能。
5.以數據支持產品優化，協助設計及分析A/B測試
6. 與其他產品開發團隊合作，了解他們的業務...","1.大學以上學歷，數據分析、統計、資訊工程等相關背景
2.2年以上數據分析相關經驗
3.精通Excel、熟練撰寫SQL
4.熟悉Python或R等數據分析工具
5.熟練使用Tableau、Power BI等BI工具進行報表設計
6.具MongoDB等資料庫操作經驗尤佳
7.具備良好的邏輯思考、數據敏感度與跨部門溝通能力"
Senior Data Analyst (Customer-Centric Planning),Coupang,台北,面議,LinkedIn,2026-05-04,94.3,"技能匹配(8): sql, python, tableau, etl, 自動化, 數據分析; 職稱完全匹配: senior data analyst; 地點符合: 台北; [技能40+職稱30+關鍵字14+地點10]",https://tw.linkedin.com/jobs/view/senior-data-analyst-customer-centric-planning-at-coupang-4408650862,職位概述 Customer-Centric Planning 團隊正在尋找一位具備工程思維的資深數據分析師。您不僅是數據的使用者，更是數據基礎建設的建構者。 此職位高度結合了 Data Analysis 與 Analytics Engineering 。您將負責從 Zendesk、WMS (倉儲系統)、OMS (訂單系統) 等多個內部數據來源，維護 Airflow ETL 流程 ，並利用 Pyth...,
D07-資料分析師(DA)_旅遊科技部_數據運營組,雄獅資訊科技股份有限公司,台北市內湖區,面議,104,20260510,94.0,"技能匹配(10): sql, python, pandas, a/b 測試, tableau, looker studio; 職稱完全匹配: 資料分析師; 地點符合: 台北市內湖區; [技能40+職稱30+關鍵字14+地點10]",https://www.104.com.tw/job/8w17z,"此職務以產品與行銷問題為導向，整合 Amplitude 與 GA4 行為數據、內外部資料與社群口碑觀測，輸出洞察、實驗與儀表板，推動用戶推薦與業績成長並持續優化，提高 CTR、CVR、營收與 LTV 等核心指標，並推動 A/B 測試與成效追蹤。

1.建立旅遊電商核心KPI（流量、點擊、加購、轉化、退單率、客單、毛利），維運跨部門儀表板與週月報，確保口徑一致與決策追蹤。
2.設計與分析 AB/多變...",
【經營管理】商業分析師 Business Analyst（專案組）,PChome Online_網路家庭國際資訊(股)公司,台北市大安區,面議,104,20260521,94.0,"技能匹配(7): sql, python, looker studio, 自動化, 數據分析, 商業分析; 職稱完全匹配: business analyst; 地點符合: 台北市大安區; [技能40+職稱30+關鍵字14+地點10]",https://www.104.com.tw/job/8lbae,"【工作內容與核心任務】
使命｜Why this role matters
用數字驅動決策與落地：你將參與營運 Forecast 與成長/效率專案，把「假設 → 分析/模型 → 決策 → 執行」變成可維運的流程，直接影響 GMV、毛利與成本。

你將負責｜What you’ll do
1. 營運指標預估：
整合業務/行銷/供應假設（檔期、折扣、投放、補貼等），輸出 P70 / P50 / P30 區...",
"Associate Data Analyst (New Graduate, Thai Speaking) (Marketing Analytics, Bangkok Based)",Agoda,台北,面議,LinkedIn,2026-05-19,93.7,"技能匹配(7): sql, python, a/b testing, dashboard, tableau, 數據分析; 職稱完全匹配: data analyst; 地點符合: 台北; [技能40+職稱30+關鍵字14+地點10]",https://tw.linkedin.com/jobs/view/associate-data-analyst-new-graduate-thai-speaking-marketing-analytics-bangkok-based-at-agoda-4299776209,"About Agoda At Agoda, we bridge the world through travel. Our story began in 2005, when two lifelong friends and entrepreneurs, driven by their passion for travel, launched Agoda to make it easier for...",
Data Analyst Intern,Appier,台北,面議,LinkedIn,2026-05-23,93.3,"技能匹配(7): sql, python, tableau, machine learning, 機器學習, 數據分析; 職稱完全匹配: data analyst; 地點符合: 台北; [技能40+職稱30+關鍵字13+地點10]",https://tw.linkedin.com/jobs/view/data-analyst-intern-at-appier-4346260492,【About The Role】 We are seeking a Data Analyst Intern in Taiwan that will be part of a product R&D team. The role will perform data analysis to help Appier teams to answer business or operational ques...,
【擴編】數據分析師 Data Analyst,瑞典商英鉑科股份有限公司台灣分公司,台北市中山區,面議,104,20260521,93.0,"技能匹配(10): sql, python, tableau, machine learning, 機器學習, 自動化; 職稱完全匹配: data analyst; 地點符合: 台北市中山區; [技能40+職稱30+關鍵字13+地點10]",https://www.104.com.tw/job/8xap1,"【工作內容】
1.	建立與維護數據視覺化與報表系統，提供即時、易讀的決策資訊
2.	負責數據管理、清洗、可視化與報告產出，支持策略與營運決策
3.	應用統計分析與基礎機器學習方法（如用戶分群、行為預測），支援數據預測、異常警示與 CRM 活動策略設計
4.	 設計並維護資料排程與自動化流程，確保資料品質與穩定性，支援日常營運與活動分析需求

【必要條件】
1.	熟悉 SQL、Python、R等程式...",
供應鏈資料分析師 (Supply Chain Data Analyst),明門實業股份有限公司,台北市內湖區,面議,104,20260520,92.0,"技能匹配(8): sql, python, tableau, machine learning, 機器學習, 自動化; 職稱完全匹配: data analyst; 地點符合: 台北市內湖區; [技能40+職稱30+關鍵字12+地點10]",https://www.104.com.tw/job/9035g,"【職務說明 (Job Description)】

•	關鍵指標診斷：
深入分析供應鏈關鍵指標（如：存貨周轉、訂單達交、Lead-time 偏差），主動揪出潛在問題並提出解決方案。

•	決策模型建構：
運用過去的 Supply Planning 經驗，協助主管建立「情境模擬（What-if）」邏輯，評估不同變數對營運的影響。

•	跨部門需求領航：
整合計畫、生產、銷售與 IT 之間的碎裂需求，...",
行銷數據分析師,嘉實資訊股份有限公司,新北市新店區,面議,104,20260522,92.0,"技能匹配(7): sql, python, pandas, looker studio, 數據分析, 統計分析; 職稱完全匹配: 數據分析師; 地點符合: 新北市新店區; [技能40+職稱30+關鍵字12+地點10]",https://www.104.com.tw/job/91a0t,"加入行銷團隊，一起幫助用戶成為投資專家，共同推廣 XQ 全球贏家吧！

在這裡 ，您將負責 XQ 全球贏家（個人版）的電商網站，並持續優化、分派任務以及控管專案進度。
同時，您將支持並協助營運同仁，實現「訂閱收入成長」的目標，並提供既有用戶更友善的「軟體教學」和「內容支持」。我們的目標是讓每位有意持續學習成長的用戶，在我們的官方網站上得到滿足，無論是投資理財、量化交易或軟體操作等需求。


【工作...",
商業數據師/數據分析師,騰創數析股份有限公司,新北市汐止區,面議,104,20260515,92.0,"技能匹配(6): sql, dashboard, tableau, 數據分析, 商業分析, 跨部門溝通; 職稱完全匹配: 數據分析師; 地點符合: 新北市汐止區; [技能40+職稱30+關鍵字12+地點10]",https://www.104.com.tw/job/90zni,"✅ 工作權責：
1.與 B 端客戶進行訪談，理解其商業模式、營運流程與決策邏輯，梳理各部門（行銷 / 營運 / 銷售 / 管理）關注的核心 KPI。
2.解析關鍵指標的組成方式與背後數據來源，定義數據追蹤範圍與資料結構、建立指標計算邏輯。並建立可擴展的數據模型，確保分析一致性與可持續性。
3.根據不同部門與角色需求設計專屬報表，建立具備「決策導向」的 Dashboard。
4.協助B 端客戶各部門...",
MITxTaipei Tech 都市數據分析師,國立臺北科技大學,台北市大安區,面議,104,20260428,92.0,"技能匹配(7): python, pandas, scikit-learn, machine learning, 機器學習, 自動化; 職稱完全匹配: 數據分析師; 地點符合: 台北市大安區; [技能40+職稱30+關鍵字12+地點10]",https://www.104.com.tw/job/885rq,"【關於我們城市科學實驗室】
我們是一支小而靈活的團隊，由城市專業者、資料科學家、AI 工程師與前後端開發者組成，致力於讓城市分析與洞察的普及化，推動更好的決策。我們善於快速設計、建構、測試與迭代，從錯誤中學習，勇於挑戰與探索，並以創新方式解決實際問題。我們對自己的工作充滿熱情，並對自我能力充滿自信。

加入我們，代表著你將成為城市科學領域的先驅，利用我們自建的龐大城市知識庫、AI 工具與自動化系統...",
資深數據分析師/資深商業分析師,東森購物_電視購物_東森得易購股份有限公司,新北市中和區,面議,104,20260514,91.7,"技能匹配(7): sql, python, machine learning, 機器學習, 數據分析, 商業分析; 職稱完全匹配: 資深數據分析師; 地點符合: 新北市中和區; [技能40+職稱30+關鍵字12+地點10]",https://www.104.com.tw/job/90qxd,"
• 建構與優化AI／機器學習模型，如：顧客流失預測、購買購買意圖預測、LTV、再購機率、推薦系統等
• 運用 Python、SQL、機器學習與生成式 AI 工具進行資料分析、特徵工程、模型開發與成效驗證
• 深度挖掘會員、商品、交易等資料，轉化為可行的商業洞察
• 建立千人千面個人化模型，支援 OMO等多元精準行銷應用情境
• 分析並建議 AI 模型或工具於數據分析或智慧零售等場景之應用
• 撰...",
Data Analyst 數據分析師,玩美行動股份有限公司,"內湖區, 台北市, 台灣",5萬 ~ 6.5萬 TWD / 月,CakeResume,,91.7,"技能匹配(7): sql, a/b testing, 數據分析, 資料分析, 實驗設計, scikit-learn; 職稱完全匹配: data analyst; 地點符合: 內湖區, 台北市, 台灣; [技能40+職稱30+關鍵字12+地點10]",https://www.cake.me/companies/meitu-740e16/jobs/data-analyst-88a,"【職務說明】
作為跨部門的數據夥伴，透過各項數據分析與洞察，協助進行產品與營運決策。需能將複雜且模糊的商業問題轉化為可量化的分析框架，並以資料視覺化、實驗設計與深度分析，提供具行動力與商業價值的建議，推動組織落實數據驅動的決策文化。
【工作內容】
1、跨部門商業夥伴合作
與產品、營運及行銷團隊密切協作，深入理解業務需求與關鍵痛點，將模糊的商業問題轉化為具體的分析框架，並追蹤核心指標達成狀況。
2、...",
數位金融處-數據商業分析師 Data Business Analyst,永豐商業銀行股份有限公司,台北市中山區,面議,104,20260519,91.3,"技能匹配(6): sql, machine learning, 機器學習, 自動化, 數據分析, 商業分析; 職稱完全匹配: business analyst; 地點符合: 台北市中山區; [技能40+職稱30+關鍵字11+地點10]",https://www.104.com.tw/job/87ifh,"1.進行數位金融產品與客群的數據分析，產出洞察並提供決策建議
2.客戶行為分析、分群貼標、Persona建置與應用成效追蹤
3.行銷活動成效評估，並持續優化活動策略
4.機器學習模型建置，包含資料整理、特徵工程與模型驗證
5.規劃並優化分析流程，導入自動化設計或重複性作業改善機制
6.建立可重複使用的分析與報表流程，以提升分析效率與穩定性
7.運用生成式AI平台與API（如主流大型語言模型服務），...",
電商資料分析師 E-commerce Data Analyst,Hour Loop 飛輪電商,"Xinxing District, Kaohsiung City, Taiwan 800 ・ Xinyi District, Taipei City, Taiwan 110 ・ West District, Taichung City, Taiwan 403 ・ Yongkang District, Tainan City, Taiwan 710 ・ 臺南市, 台灣 ・ 臺中市, 台灣 ・ 台北市, 台灣 ・ 高雄市, 台灣",4.5萬 ~ 5萬 TWD / 月,CakeResume,,91.3,"技能匹配(7): sql, python, tableau, 自動化, 數據分析, 資料分析; 職稱完全匹配: data analyst; 地點符合: Xinxing District, Kaohsiung Ci; [技能40+職稱30+關鍵字11+地點10]",https://www.cake.me/companies/hour-loop/jobs/e-commerce-data-analysis,"【Hour Loop 飛輪電商】在2013年成立，並於2022年初在美國那斯達克上市。作為亞馬遜 (Amazon) 第三方賣家，我們的工作不只廠商開發，還包括商品上架、價格制定，以及物流與庫存管理，通通一手包辦。
在百萬競爭對手中，我們透過獨特的營運模式，成功實現十年來的持續成長，並脫穎而出，在2022年底躍升為亞馬遜 (Amazon) 前十名的賣家！
我們提供彈性且暢通的職涯管道，不綁年資，端看...","1. 具 1–2 年以上相關工作經驗尤佳。
2. 熟悉 Excel 基礎公式與功能（如：sum, count, xlookup, pivot, chart, VBA），具良好的數字敏感度；若具備 SQL 語法能力（如：JOIN, 欄位值轉換, 套件應用）及視覺呈現軟體（如：Looker, Tableau, PowerBI）則更佳。
3. 具備獨立專案執行能力，能準時完成並交付成果。
4. 擅長跨部..."
資深產品 數據分析 師 (Senior Product Analyst),InAddition Consultants Ltd.,"台北市, 台灣",100萬 ~ 120萬 TWD / 年,CakeResume,,91.3,"技能匹配(6): sql, python, a/b testing, 數據分析, 實驗設計, 統計分析; 職稱完全匹配: product analyst; 地點符合: 台北市, 台灣; [技能40+職稱30+關鍵字11+地點10]",https://www.cake.me/companies/inaddition-consultants/jobs/productdataanalyst,"【核心職責】
作為產品團隊的數據大腦，您將透過量化分析來驅動商業決策，確保每一個產品改動都有數據佐證。
商業與營運診斷
：深入剖析業務流程與系統運作，主動挖掘流程中的斷點與瓶頸 (Bottlenecks)，提出具體的優化策略。
實驗設計與評估
：主導
A/B Testing
與各類驗證實驗，從假設設立、變數控制到成效解讀，提供精準的產品迭代建議。
指標體系建置
：與 PM 及工程團隊協作，定義關鍵...","【我們尋找的專家】
資歷要求
：具備 5 年以上數據分析或專案管理實務經驗，能獨立當責複雜的分析專案。
數據架構思維
：不只會撈資料，更理解
資料治理 (Data Governance)
與
資料倉儲 (Data Warehouse)
的運作邏輯，能評估資料品質。
技術硬實力
：精通
SQL
語法（必備）；熟悉
Python
或
R
語言進行統計分析與資料清理者優先。
溝通軟實力
：具備極佳的邏輯..."
"Data Scientist, Analytics",Appier,台北,面議,LinkedIn,2026-05-06,91.3,"技能匹配(8): sql, python, pandas, dashboard, machine learning, 機器學習; 職稱完全匹配: data scientist; 地點符合: 台北; [技能40+職稱30+關鍵字11+地點10]",https://tw.linkedin.com/jobs/view/data-scientist-analytics-at-appier-4192060797,"About Appier Appier is a software-as-a-service (SaaS) company that uses artificial intelligence (AI) to power business decision-making. Founded in 2012 with a vision of democratizing AI, Appier’s miss...",
業務分析師 Business Analyst,鑫鼎鑽科技有限公司,台北市南港區,面議,104,20260515,90.7,"技能匹配(7): sql, a/b 測試, dashboard, tableau, looker studio, etl; 職稱完全匹配: business analyst; 地點符合: 台北市南港區; [技能40+職稱30+關鍵字11+地點10]",https://www.104.com.tw/job/8vsgz,"工作內容
與商務及技術／資料團隊對齊，理解需求背景、業務決策目的與痛點。
將模糊的問題轉化為可衡量的分析假設與指標，界定樣本／期間／切片維度。
利用現有數據與儀表板（或協助建立 dashboard）進行探索，找出「趨勢／異常／洞察」，並提出具體建議。
撰寫並交付 Insight 報告（包括：發現／解讀／建議動作／預估影響），協助商務與營運團隊做出數據驅動決策。
協助定義 KPI／關鍵指標監控流程，...",
[FIN] Senior Data Analyst,UnicornFintech 烽泰科技有限公司,Taipei–Keelung Metropolitan area,面議,LinkedIn,2026-05-08,90.0,"技能匹配(11): sql, python, hypothesis testing, p&l analysis, dashboard, machine learning; 職稱完全匹配: senior data analyst; [技能40+職稱30+關鍵字20+地點0]",https://tw.linkedin.com/jobs/view/fin-senior-data-analyst-at-unicornfintech-4411887162,"About UnicornFintech UnicornFintech is a core member of Hytech Group, a global management consulting firm headquartered in Australia and Singapore. We provide end-to-end digital transformation solutio...",
商戶數據與風控分析師 / Business Data Analyst - Merchant & Risk,聚流平台科技股份有限公司,台北市內湖區,面議,104,20260417,89.7,"技能匹配(6): sql, dashboard, tableau, 數據分析, 資料分析, 商業分析; 職稱完全匹配: data analyst; 地點符合: 台北市內湖區; [技能40+職稱30+關鍵字10+地點10]",https://www.104.com.tw/job/90kjt,"在O2O平台中，商戶成長與交易風控是相互牽動的兩大核心。
本職位將透過數據分析，協助業務團隊優化商戶拓展策略，同時建立基礎風險偵測邏輯，確保平台健康成長。

【工作內容】
商戶與商圈數據分析 Merchant & Trade Area Analysis
- 分析商圈特性、餐飲品類與商戶表現。
- 協助制定拓店策略、資源配置與營運優化建議。
- 與BD/營運團隊合作，推動數據驅動決策。
交易風險監測...",
Staff Business Planning data Analyst,Renesas Electronics,台北,面議,LinkedIn,2026-05-20,89.0,"技能匹配(5): dashboard, 數據分析, 資料分析, data analytics, stakeholder management; 職稱完全匹配: data analyst; 地點符合: 台北; [技能33+職稱30+關鍵字16+地點10]",https://tw.linkedin.com/jobs/view/staff-business-planning-data-analyst-at-renesas-electronics-4377127779,"Job Description This role is pivotal in driving the RENESAS's solution selling strategy, leveraging advanced analytics and AI to enhance sales effectiveness, accelerate market adoption, and support th...",
【知名速食業龍頭】  會員資料分析師(歡迎新鮮人)_MH,新加坡商立福人事顧問有限公司台灣分公司,台北市中正區,面議,104,20260519,88.7,"技能匹配(6): sql, python, a/b testing, tableau, 數據分析, 實驗設計; 職稱完全匹配: 資料分析師; 地點符合: 台北市中正區; [技能40+職稱30+關鍵字9+地點10]",https://www.104.com.tw/job/7l2c9,"【工作地點】
台北市中正區濟南路一段

【工作時間】
0900-1800周休六日，09:00~10:00 彈性上班

【薪資範圍】
月薪45K-60K (可議)
年終依當年度在職比例發放、優於勞基法假勤


【工作內容】
1.     會員行為分析
- 根據會員經營或行銷目標，設計實驗 (如A/B Testing)，建立假設，並透過數據分析驗證結果
- 理解會員行銷需求，並透過分析，讓團隊了解會員...",
Data Analyst,ContactLoop,"臺北市, 台灣",面議,LinkedIn,2026-05-22,88.0,"技能匹配(7): sql, python, dashboard, data pipeline, etl, 數據分析; 職稱完全匹配: senior data analyst; [技能40+職稱30+關鍵字18+地點0]",https://tw.linkedin.com/jobs/view/data-analyst-at-contactloop-4417120482,【Company Overview】 ContactLoop is dedicated to providing cutting-edge solutions for contact management and operational efficiency. Our operations team plays a vital role in ensuring that clients and c...,
"Customer Service Performance Intelligence ( Data Analyst ), SPX Express",Shopee Viet Nam,"Ho Chi Minh City, Vietnam",面議,CakeResume,,87.3,"技能匹配(6): sql, python, dashboard, 數據分析, 資料分析, business analytics; 職稱完全匹配: data analyst; [技能40+職稱30+關鍵字17+地點0]",https://www.cake.me/companies/shopee-viet-nam/jobs/j02084637-customer-service-performance-analyst-spx-express-e54c5b4468b5187a92454e16eaf239,"As the Customer Service - Performance Management, you will support the line manager in managing department performance and leading initiatives to enhance customer service across complex environments. ...","At least 3 years of industry experience in Performance Management, Business Strategy, Operations Analytics, Business Intelligence, or Business Analytics with proven business impact
Demonstrated abilit..."
Sr Data Analyst,Advanced Energy,台北,面議,LinkedIn,2026-05-11,87.3,"技能匹配(5): sql, python, dashboard, 數據分析, 資料分析; 職稱完全匹配: data analyst; 地點符合: 台北; [技能33+職稱30+關鍵字14+地點10]",https://tw.linkedin.com/jobs/view/sr-data-analyst-at-advanced-energy-4403339753,"Position Title: Sr Data Analyst About Advanced Energy Advanced Energy Industries, Inc. (NASDAQ: AEIS), enables design breakthroughs and drives growth for leading semiconductor and industrial customers...",
Internship - SS&P - PLM Data Analyst Intern - Linkou,ASML Taiwan 台灣艾司摩爾,"林口區, 新北市, 台灣",面議,CakeResume,,87.0,"技能匹配(5): sql, python, dashboard, 數據分析, 資料分析; 職稱完全匹配: data analyst; 地點符合: 林口區, 新北市, 台灣; [技能33+職稱30+關鍵字14+地點10]",https://www.cake.me/companies/ASML-Taiwan/jobs/j00342398-internship-ss-p-product-lifecyle-management-intern-1-y-efa17181e267787f4df748b20b953b,"Role and responsibilities
Analyze procurement, inventory, and material availability datasets to improve operational visibility and process efficiency
Utilize SAP ERP systems to manage, validate, and t...",
